locus_tag	ftype	length_bp	gene	EC_number	COG	product
ICLPPAIG_00001	CDS	183				hypothetical protein
ICLPPAIG_00002	CDS	291				hypothetical protein
ICLPPAIG_00003	CDS	288				hypothetical protein
ICLPPAIG_00004	CDS	330				hypothetical protein
ICLPPAIG_00005	CDS	1842				hypothetical protein
ICLPPAIG_00006	CDS	168				hypothetical protein
ICLPPAIG_00007	CDS	183				hypothetical protein
ICLPPAIG_00008	CDS	168				hypothetical protein
ICLPPAIG_00009	CDS	2766				hypothetical protein
ICLPPAIG_00010	CDS	168				hypothetical protein
ICLPPAIG_00011	CDS	183				hypothetical protein
ICLPPAIG_00012	CDS	168				hypothetical protein
ICLPPAIG_00013	CDS	2766				hypothetical protein
ICLPPAIG_00014	CDS	168				hypothetical protein
ICLPPAIG_00015	CDS	183				hypothetical protein
ICLPPAIG_00016	CDS	213				hypothetical protein
ICLPPAIG_00017	CDS	993				hypothetical protein
ICLPPAIG_00018	CDS	204				hypothetical protein
ICLPPAIG_00019	CDS	225				hypothetical protein
ICLPPAIG_00020	CDS	228				hypothetical protein
ICLPPAIG_00021	CDS	861				hypothetical protein
ICLPPAIG_00022	CDS	228				hypothetical protein
ICLPPAIG_00023	CDS	234				hypothetical protein
ICLPPAIG_00024	CDS	186				hypothetical protein
ICLPPAIG_00025	CDS	960				hypothetical protein
ICLPPAIG_00026	CDS	447				hypothetical protein
ICLPPAIG_00027	CDS	381				hypothetical protein
ICLPPAIG_00028	CDS	138				hypothetical protein
ICLPPAIG_00029	CDS	495				hypothetical protein
ICLPPAIG_00030	CDS	711				hypothetical protein
ICLPPAIG_00031	CDS	624				hypothetical protein
ICLPPAIG_00032	CDS	1062				hypothetical protein
ICLPPAIG_00033	CDS	198				hypothetical protein
ICLPPAIG_00034	CDS	3135	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
ICLPPAIG_00035	CDS	180				hypothetical protein
ICLPPAIG_00036	CDS	750	nfuA_1			Fe/S biogenesis protein NfuA
ICLPPAIG_00037	CDS	99				hypothetical protein
ICLPPAIG_00038	CDS	1887				hypothetical protein
ICLPPAIG_00039	CDS	348				hypothetical protein
ICLPPAIG_00040	CDS	228				hypothetical protein
ICLPPAIG_00041	CDS	1170				hypothetical protein
ICLPPAIG_00042	CDS	222				hypothetical protein
ICLPPAIG_00043	CDS	195				hypothetical protein
ICLPPAIG_00044	CDS	333				hypothetical protein
ICLPPAIG_00045	CDS	231				hypothetical protein
ICLPPAIG_00046	CDS	969				hypothetical protein
ICLPPAIG_00047	CDS	273				hypothetical protein
ICLPPAIG_00048	CDS	210				hypothetical protein
ICLPPAIG_00049	CDS	216				hypothetical protein
ICLPPAIG_00050	CDS	255				hypothetical protein
ICLPPAIG_00051	CDS	255				hypothetical protein
ICLPPAIG_00052	CDS	222				hypothetical protein
ICLPPAIG_00053	CDS	324				hypothetical protein
ICLPPAIG_00054	CDS	237				hypothetical protein
ICLPPAIG_00055	CDS	159				hypothetical protein
ICLPPAIG_00056	CDS	348				hypothetical protein
ICLPPAIG_00057	CDS	456				hypothetical protein
ICLPPAIG_00058	CDS	255				hypothetical protein
ICLPPAIG_00059	CDS	228				hypothetical protein
ICLPPAIG_00060	CDS	381				hypothetical protein
ICLPPAIG_00061	CDS	252				hypothetical protein
ICLPPAIG_00062	CDS	138				hypothetical protein
ICLPPAIG_00063	CDS	156				hypothetical protein
ICLPPAIG_00064	tRNA	71				tRNA-Gly(gcc)
ICLPPAIG_00065	CDS	240				hypothetical protein
ICLPPAIG_00066	CDS	120				hypothetical protein
ICLPPAIG_00067	CDS	1290	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
ICLPPAIG_00068	CDS	207				hypothetical protein
ICLPPAIG_00069	CDS	2898	ligA_1	6.5.1.2		DNA ligase
ICLPPAIG_00070	CDS	201				hypothetical protein
ICLPPAIG_00071	CDS	180				hypothetical protein
ICLPPAIG_00072	CDS	138				hypothetical protein
ICLPPAIG_00073	CDS	207				hypothetical protein
ICLPPAIG_00074	CDS	2088				hypothetical protein
ICLPPAIG_00075	CDS	228				hypothetical protein
ICLPPAIG_00076	CDS	306				hypothetical protein
ICLPPAIG_00077	CDS	153				hypothetical protein
ICLPPAIG_00078	CDS	129				hypothetical protein
ICLPPAIG_00079	CDS	1269				hypothetical protein
ICLPPAIG_00080	CDS	1479				hypothetical protein
ICLPPAIG_00081	CDS	150				hypothetical protein
ICLPPAIG_00082	CDS	1227				hypothetical protein
ICLPPAIG_00083	CDS	243				hypothetical protein
ICLPPAIG_00084	CDS	1467	ifcA_1	1.3.2.-	COG1053	putative fumarate reductase Ifc3
ICLPPAIG_00085	CDS	144				hypothetical protein
ICLPPAIG_00086	CDS	201				hypothetical protein
ICLPPAIG_00087	CDS	636				hypothetical protein
ICLPPAIG_00088	CDS	2523				hypothetical protein
ICLPPAIG_00089	CDS	180				hypothetical protein
ICLPPAIG_00090	CDS	219				hypothetical protein
ICLPPAIG_00091	CDS	747				hypothetical protein
ICLPPAIG_00092	CDS	279				hypothetical protein
ICLPPAIG_00093	CDS	1461				hypothetical protein
