locus_tag,ftype,length_bp,gene,EC_number,COG,product,strain,functional_category
GDCOHDAI_00001,CDS,276,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00002,CDS,3339,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00003,CDS,951,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00004,CDS,1191,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00005,CDS,1302,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00006,CDS,219,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00007,CDS,168,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00008,CDS,117,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00009,CDS,162,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00010,CDS,159,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00011,CDS,195,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00012,CDS,141,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00013,CDS,144,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00014,CDS,2052,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00015,CDS,2235,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00016,CDS,747,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00017,CDS,147,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00018,CDS,222,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00019,CDS,627,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00020,CDS,144,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00021,CDS,1806,pyrG,6.3.4.2,COG0504,CTP synthase,ANFW02000052,Metabolism
GDCOHDAI_00022,CDS,1038,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00023,CDS,165,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00024,CDS,936,,,,hypothetical protein,ANFW02000052,Other
